angle,distance
-0.832981267,1.486606875
-0.702256932,1.702938637
-0.694738276,1.562049935
-0.266252049,1.140175425
-0.616296937,1.470544117
-0.533708192,1.277693234
-0.079829986,1.25399362
0.235544981,1.285496013
-0.499346722,1.252996409
-0.076771891,1.303840481
0.588002604,1.622498074
-0.551654983,1.526433752
0.57133748,1.664331698
0.496422753,1.364734406
-0.605544664,1.58113883
